"time","js.latency","js.accuracy","js.throughput","jet.latency","jet.accuracy","jet.throughput","aws.latency","aws.throughput","aws.accuracy","tcp.latency","tcp.throughput","tcp.accuracy"
122,43.6778,0.975,12.33504,38.5889,0.975,12.77771467,37.0556666666667,13.790272,0.9585,45.356,14.384872,0.9585
123,43.9333,0.962121212,13.3446,40.7159,0.962121212,13.10036,38.3146666666667,12.0616426666667,0.9299,44.9366666666667,12.870344,0.9305
124,44.5778,0.88209607,13.48192533,39.7,0.88209607,15.45826667,36.2063333333333,12.4229973333333,0.9762,43.6173333333333,12.1647226666667,0.9741
125,46.9889,0.805755396,16.61438667,42.1011,0.805755396,13.675248,36.822,12.6568,0.9701,43.1366666666667,12.6356933333333,0.9679
126,44.0667,0.923076923,14.03996267,40.0787,0.923076923,15.59419467,36.9,13.4086346666667,0.9664,43.7726666666667,13.1726826666667,0.9694
127,45.5444,0.932038835,14.97117867,41.7,0.932038835,13.68421067,37.822,15.269752,0.821,45.3333333333333,14.5658106666667,0.821
128,44.2556,0.934782609,13.93085867,40.8652,0.934782609,13.98867733,37.5086666666667,15.8501573333333,0.8871,46.818,15.7718986666667,0.8871
129,43.8111,0.911564626,13.44744267,39.8222,0.911564626,12.83903467,37.036,13.9845226666667,0.9164,45.8813333333333,14.593464,0.9164
130,43.1111,0.908450704,12.24737867,39,0.908450704,11.72376267,37.5426666666667,15.2174266666667,0.9506,45.67,14.868504,0.9506
131,43.9556,0.85106383,10.83941067,39.2,0.85106383,12.03092533,36.8096666666667,13.4214693333333,0.9227,45.1333333333333,13.8303706666667,0.9227
132,43.4889,0.910638298,12.00306133,38.4111,0.910638298,11.160424,37.5586666666667,13.549216,0.8945,44.1,13.5158613333333,0.8945
133,42.7444,0.960960961,11.31023467,38.4,0.960960961,11.66187733,38.3556666666667,11.319296,0.9205,43.8323333333333,12.2848,0.9205
134,42.9556,0.979228487,11.44480533,38.0889,0.979228487,10.803296,37.0636666666667,11.6275733333333,0.8795,42.3333333333333,11.3494453333333,0.8795
135,42.8889,0.974729242,10.833648,37.6629,0.974729242,11.059552,36.2666666666667,11.5141066666667,0.9173,42.498,11.59832,0.9176
136,43.0562,0.901234568,10.846712,38.1348,0.901234568,12.44837333,38.3006666666667,11.66996,0.9677,42.6113333333333,11.74768,0.9694
137,44.1667,0.90212766,13.32410933,39.2921,0.90212766,14.21603733,37.216,11.349584,0.9821,42.1886666666667,11.310808,0.9821
138,46.1,0.948571429,15.93164533,41.4222,0.948571429,12.87061067,38.0536666666667,10.7072293333333,0.9606,42.174,10.9864506666667,0.9606
139,44.0111,0.917431193,12.747152,39.3111,0.917431193,14.168048,38.3896666666667,12.084504,0.9091,42.089,11.572528,0.9091
140,43.4667,0.926108374,13.38358933,40.0556,0.926108374,13.06731733,37.9516666666667,15.6549653333333,0.919,44.789,14.5327226666667,0.919
141,45.5667,0.928104575,13.17285333,41.0111,0.928104575,12.483664,38.0473333333333,14.07996,0.925,45.761,14.649744,0.9259
142,43.4022,0.913207547,12.061672,38.5165,0.913207547,11.591328,37.7293333333333,13.067872,0.9333,44.5,13.338552,0.9324
143,43.4944,0.828947368,10.704296,38.2111,0.828947368,11.61672267,38.1973333333333,13.7886933333333,0.9318,45.155,13.7697706666667,0.9309
144,43.3407,0.819047619,11.54485333,38.5,0.819047619,13.34379467,37.5233333333333,12.5961013333333,0.932,44.8886666666667,12.8214213333333,0.9329
145,45,0.961832061,14.360992,40.3556,0.961832061,13.91117333,38.0443333333333,11.076192,0.8559,42.7886666666667,11.5087573333333,0.8559
146,45.4778,0.873015873,15.52716,41.0787,0.873015873,15.77940533,38.44,10.683568,0.8333,42.1666666666667,10.7425573333333,0.8333
147,45.9222,0.931506849,16.41043467,41.7778,0.931506849,13.87354133,37.6013333333333,14.299336,0.8906,43.444,12.9485706666667,0.8943
148,43.8444,0.743801653,13.23505333,39.9333,0.743801653,14.354472,37.7266666666667,15.1110053333333,0.9323,45.8003333333333,14.7747146666667,0.9275
149,44.3111,0.896551724,13.44192,40.3556,0.896551724,12.15492533,37.8223333333333,15.9154533333333,0.8667,46.6723333333333,15.861376,0.8667
150,42.618,0.922155689,11.812544,39.046,0.922155689,11.32467467,37.9546666666667,15.15104,0.8552,46.72,15.5240853333333,0.8552
151,43.0549,0.921212121,10.12058133,38.8913,0.921212121,10.084448,38.3323333333333,13.4966826666667,0.8372,44.887,14.0336853333333,0.8372
152,42.967,0.978947368,9.162517333,36.9333,0.978947368,10.968272,36.678,12.0735946666667,0.9371,43.522,12.4936346666667,0.9371
153,43.3667,0.933333333,11.41192267,38.6629,0.933333333,11.57192267,37.9246666666667,11.2502213333333,0.8889,43.301,11.6917973333333,0.8889
154,43.1333,0.923076923,12.59758133,39.1319,0.923076923,13.80863467,37.611,8.919504,0.963,41.4333333333333,9.56796533333333,0.963
155,45.4222,0.93989071,15.17576533,41.4889,0.93989071,12.87427733,38.3373333333333,10.8341866666667,0.9545,40.8333333333333,10.0633093333333,0.9545
156,43.4333,0.981818182,13.22852,39.4,0.981818182,13.94177067,37.0646666666667,12.3087706666667,0.9365,42.5123333333333,11.782704,0.9344
157,44.2584,0.933333333,13.55800533,40.3146,0.933333333,13.51215467,37.2353333333333,14.983344,0.9418,44.5556666666667,14.2448506666667,0.943
158,44.5714,0.944444444,13.74299467,40.0112,0.944444444,15.15600267,36.9776666666667,13.7408266666667,0.9561,45.2193333333333,14.2549066666667,0.9528
