"time","js.latency","js.accuracy","js.throughput","jet.latency","jet.accuracy","jet.throughput","aws.latency","aws.throughput","aws.accuracy","tcp.latency","tcp.throughput","tcp.accuracy","udp.throughput","udp.latency","udp.accuracy"
73,46.4778,0.827244582,13.52563467,53.5056,0.834017595,12.687912,38.494,13.466664,0.9304,75.9,13.3748666666667,0.9323,13809.71184,33,0.901327434
74,46.6,0.825766871,13.802752,52.4348,0.845508982,12.713672,39.5,14.121304,0.9236,79.0666666666667,13.8033626666667,0.9258,13809.71184,33,0.901327434
75,47.2556,0.827629911,13.97457867,52.2472,0.867995019,12.74692,38.6,13.07116,0.9562,73.1636666666667,13.4603733333333,0.9533,13538.17832,33,0.892771661
76,46.3736,0.843559978,13.84544533,52.7363,0.886620097,13.271408,38.0333333333333,12.816656,0.8924,71.997,13.1745146666667,0.8979,13538.17832,33,0.892771661
77,46.6477,0.85535248,13.505928,52.6667,0.878757515,13.487576,37.8,12.674456,0.8781,71.8666666666667,12.7252373333333,0.8861,13538.17832,33,0.892771661
78,47.2967,0.865060241,14.00939733,59.5333,0.874853801,14.03183733,39.1,12.860376,0.905,72.5816666666667,13.2103413333333,0.8978,13538.17832,33,0.892771661
79,47.0667,0.864898211,13.65562933,52.3556,0.888358209,12.51411467,38.2,12.685176,0.9115,71.7333333333333,12.6942373333333,0.9115,13538.17832,33,0.892771661
80,47.1444,0.845002992,13.72833333,51.5667,0.846420323,12.620104,37.9333333333333,12.71236,0.9202,71.7666666666667,12.712928,0.9202,13534.30384,33,0.885375494
81,50.0556,0.888231816,14.62481867,54.6207,0.888382688,12.403664,38.0333333333333,12.714064,0.9053,72.6333333333333,12.9159013333333,0.9053,13534.30384,33,0.885375494
82,46.4333,0.844267727,13.49734667,53.967,0.880606444,12.77026133,39.0606666666667,14.62044,0.9165,75.0666666666667,13.4101946666667,0.9114,13534.30384,33,0.885375494
83,46.4556,0.866152768,13.675336,78.3214,0.886639676,11.74671467,39.3333333333333,13.528016,0.8873,78.0333333333333,13.69776,0.8919,13534.30384,33,0.885375494
84,47.0879,0.852525253,14.052176,71.5521,0.8828125,13.39708267,38.9333333333333,13.904384,0.9122,77.7,13.4404773333333,0.9107,13534.30384,33,0.885375494
85,47.0222,0.846446701,13.853568,54.4556,0.910216718,12.46571467,37.4666666666667,12.499152,0.9067,71.091,12.9608026666667,0.9088,14106.282,33,0.898617512
86,46.4831,0.880886427,13.45289333,51.5222,0.916275955,12.26147467,37.7,12.651264,0.9224,71.815,13.129592,0.918,14106.282,33,0.898617512
