time,tcp.throughput,tcp.latency,tcp.accuracy,ads.throughput,ads.latency,ads.accuracy,udp.throughput,udp.latency,udp.accuracy,jet.throughput,jet.latency,jet.accuracy
315,7173.2575,55621.8675,0.905,6535.96,115.0533333,0.885,7764.60392,20,0,5801.717333,214.9182,0.617297425
320,7173.9825,57783.91167,0.8625,6668.5275,249.5933333,0.868333333,7189.834,20,0,6358.9904,448.0994,0.80967391
325,7174.298333,59384.61333,0.945,6140.058333,42.65083333,0.816666667,7564.79504,20,0,5418.138133,222.81356,0.852285376
330,7173.319167,61852.28833,0.954166667,6873.496667,161.2,0.926666667,8749.3272,20,0,6655.226667,211.6464,0.836656985
335,7155.855,64292.63083,0.925833333,6979.911667,135.1416667,0.83,7412.23504,20,0,7054.201067,690.7194,0.608680443
340,7173.5675,66992.87417,0.855,6933.2975,283.0441667,0.933333333,8270.70552,20,0,4836.962667,672.9178,0.815633255
345,7172.163333,69291.0125,0.96,6625.89,291.835,0.900833333,7041.03608,20,0,6822.288,429.518,0.808915658
350,7172.628333,71604.84583,0.940833333,5758.356667,66.75583333,0.859166667,7888.95784,20,0,7180.5072,818.579,0.842523669
355,7173.07,74098.41,0.931666667,6087.665,49.29,0.918333333,8550.40528,20,0,6014.3376,448.0918,0.840568107
360,7173.180833,76628.885,0.916666667,6627.9975,175.3283333,0.893333333,7026.3164,20,0,6535.890667,426.3944,0.803994468
365,7172.500833,79062.70833,0.900833333,6035.1825,88.13333333,0.851666667,7017.48296,20,0,7195.223467,663.4336,0.672795775
370,7172.15,80966.94583,0.8825,6043.014167,166.865,0.916666667,7288.53896,20,0,5822.742933,590.05802,0.798401347
375,7167.529167,83453.7775,0.933333333,6398.638333,169.8858333,0.891666667,5790.038,20,0,5018.913067,269.69298,0.809381494
380,5034.974167,86490.41167,0.9625,4962.230833,817.0466667,0.866666667,4628.80536,20,0,7156.1424,336.8634,0.775502647
385,4802.1975,89666.20083,0.965,4352.4625,35.675,0.78,5744.91008,20,0,4743.8448,709.0964,0.803736175
390,4784.264167,93146.21333,0.821666667,3816.993333,254.3191667,0.8425,5886.736,20,0,4746.692267,770.6134,0.738083519
395,4781.4925,96484.58417,0.919166667,4188.5775,231.8225,0.775,5518.55104,20,0,4759.985067,941.8892,0.76839822
400,4781.449167,99824.16583,0.9325,4504.706667,277.8758333,0.905,5975.48568,20,0,4775.423467,835.1658,0.782452843
405,4782.335,102939.6467,0.909166667,4639.795,458.1808333,0.875,5191.72848,20,0,3914.523733,566.7272,0.671553839
410,4781.4125,105846.5075,0.901666667,4054.085,99.0775,0.82,5063.15488,20,0,4677.678933,745.6804,0.786156423
415,4782.099167,108759.0658,0.970833333,4517.000833,172.46,0.918333333,6314.58896,20,0,4676.7936,615.0702,0.788176557
420,4781.3225,111676.7142,0.926666667,4732.726667,460.5058333,0.855,4584.08704,20,0,4763.0592,762.8024,0.763971761
425,4782.433333,115142.4775,0.9325,4193.731667,134.6075,0.840833333,5462.86128,20,0,4785.709333,1399,0.792351093
430,4843.4675,118303.7675,0.919166667,3699.396667,163.0133333,0.898333333,8597.24128,20,0,4727.239467,795.6506,0.787863841
435,5213.790833,121180.7867,0.918333333,4238.033333,110.8241667,0.865,15556.836,20,0,4507.021333,684.8142,0.613966411
440,22049.11083,117156.2167,0.8875,6624.4225,21.69166667,0.844166667,12415.73416,20,0,4613.6528,968.3892,0.887987714
445,23741.3175,113487.525,0.928333333,6767.7375,27.07083333,0.839166667,15654.61496,20,0.049618321,7948.338133,98.76292,0.928333333
450,23875.38833,109758.87,0.94,9829.655833,24.85833333,0.934166667,14550.68376,20,0.267489712,12145.37653,42.60474,0.94
455,23806.8475,105921.0167,0.9,12778.8075,22.96583333,0.899166667,14924.01112,20,0.922018349,13800.552,43.28746,0.9
460,23592.42917,102364.7483,0.933333333,13195.97917,22.575,0.944166667,14845.894,20,0.92,13686.5712,43.2112,0.933333333
465,23679.89833,97703.74333,0.93,14056.45583,22.17416667,0.911666667,13894.456,20,0.946692357,13583.36427,43.09768,0.93
470,23863.4925,93705.12667,0.916666667,12863.03167,22.2075,0.890833333,14792.30664,20,0.940634006,13642.656,42.25156,0.916666667
475,23878.57417,89377.87417,0.913333333,12807.33,22.33333333,0.956666667,14736.36024,20,0.910678308,12857.2784,41.86304,0.913333333
480,23875.53167,85945.79667,0.928333333,14668.1875,22.35,0.91,12038.15632,20,0.926553672,13643.58987,43.57474,0.928333333
485,23888.97417,82428.07417,0.931666667,12073.0725,22.50083333,0.92,14435.5508,20,0.934920635,13575.9904,43.23556,0.931666667
490,23889.07583,78212.03,0.9175,13219.9425,22.35833333,0.94,13572.632,20,0.732035928,11846.808,40.91368,0.9175
495,23891.69083,74643.68833,0.920833333,12253.20167,22.32833333,0.91,14782.26984,20,0.925619835,12763.88427,42.29074,0.920833333
500,23896.36917,70024.725,0.931666667,14704.2925,22.32333333,0.87,12967.68248,20,0.879532164,12937.41173,43.19928,0.931666667
505,23865.9775,66171.5875,0.891666667,10875.515,22.3525,0.9325,15705.3804,20,0.909487459,13347.97013,43.21174,0.891666667
510,23892.7925,61674.42,0.938333333,13488.09417,22.42416667,0.949166667,14180.08744,20,0.868421053,12277.99947,41.47798,0.938333333
515,23893.79,58167.66667,0.931666667,13945.6525,22.40416667,0.92,15122.73632,20,0.932261768,13710.17707,42.68544,0.931666667
520,23893.44333,54376.5225,0.9125,13863.77417,22.37,0.94,14107.39224,20,0.700617284,13644.016,42.46702,0.9125
525,23848.14417,50569.41,0.93,14695.41583,22.34166667,0.91,14275.71376,20,0.626356589,13625.71253,42.18396,0.93
530,23876.23417,46313.67333,0.928333333,13511.77833,22.3325,0.895,15154.71048,20,0.940427993,13604.5408,42.4,0.928333333
535,23893.86583,41858.53833,0.920833333,13028.56333,22.33916667,0.96,14140.3604,20,0.912,12969.30987,42.36846,0.920833333
540,23895.0325,37632.71667,0.9075,14341.02583,22.27416667,0.906666667,12030.66592,20,0.922357343,13609.54133,43.35688,0.9075
545,23892.75917,34274.10333,0.921666667,11965.9875,22.23416667,0.925833333,14732.51384,20,0.929976397,13549.4656,43.3941,0.921666667
550,23890.4875,30501.6075,0.939166667,13738.5175,22.21833333,0.93,14132.02144,20,0.832386364,11900.5248,41.24806,0.939166667
555,23893.225,26628.58,0.906666667,11736.96667,22.2425,0.905833333,13527.4872,20,0.93745401,12715.8576,42.40778,0.906666667
560,23893.95333,23010.18583,0.930833333,14181.42417,22.1325,0.88,13883.91944,20,0.913783635,13011.7632,43.43676,0.930833333
565,23893.52417,18311.14833,0.93,11391.2575,22.2825,0.939166667,16051.26104,20,0.902255639,13184.86347,43.31808,0.93
570,23900.29917,14372.89917,0.910833333,13811.0975,22.27666667,0.94,14078.75488,20,0.892537313,12448.6896,41.87966,0.910833333
575,23896.20917,9847.424167,0.9275,13534.445,22.31416667,0.930833333,15282.54992,20,0.923255814,13656.02827,42.88,0.9275
580,23889.20583,6366.005,0.929166667,13991.33667,22.26583333,0.938333333,13410.34176,20,0.915662651,13647.9008,42.10124,0.929166667
585,23900.43333,2952.335833,0.924166667,14354.69167,22.28666667,0.91,14494.69896,20,0.944516129,13622.52053,43.28826,0.924166667
590,18773.23667,143.9416667,0.921666667,13722.02917,22.43,0.9025,15552.61328,20,0.91108545,13519.1504,43.11682,0.921666667
595,15103.12417,22.23083333,0.921666667,13201.44917,22.42583333,0.944166667,13588.16344,20,0.89442623,13085.24427,42.92856,0.921666667
600,12564.12917,22.14166667,0.92,14139.70833,22.31,0.914166667,12409.19576,20,0.924369748,13530.21653,43.4279,0.92
605,11406.32667,22.13666667,0.948333333,11813.71583,22.31583333,0.936666667,14160.44408,20,0.934920635,13525.97813,43.15066,0.948333333
610,13358.12667,22.16916667,0.9225,13441.2825,22.24916667,0.93,15377.6004,20,0.810773481,11992.4176,41.72262,0.9225
615,14045.3775,22.16,0.88,12003.11917,22.40833333,0.9,11904.23984,20,0.748585287,12720.01707,43.4723,0.88
620,11830.35417,22.19166667,0.9,13981.90833,22.30083333,0.89,14700.42264,20,0.881527232,12616.6064,43.29556,0.9
625,13357.335,21.9875,0.955833333,11804.86083,22.28333333,0.935,16137.49216,20,0.900647948,13123.3648,43.15282,0.955833333
630,15552.8925,22.055,0.8925,14310.17583,22.2675,0.93,14234.04984,20,0.870588235,12602.648,42.9622,0.8925
