time,tcp.throughput,tcp.latency,tcp.accuracy,ads.throughput,ads.latency,ads.accuracy,udp.throughput,udp.latency,udp.accuracy,jet.throughput,jet.latency,jet.accuracy
560,12981.67083,20.93166667,0.886666667,12430.77,16.16916667,0.890833333,13807.43424,20,0.90358588,12590.04693,50.32308,0.886666667
565,12852.1625,20.90916667,0.89,12417.72083,16.25,0.89,13583.82128,20,0.910116405,13010.86507,52.28,0.89
570,12813.74333,21.00833333,0.901666667,12289.52833,16.2525,0.891666667,13546.75352,20,0.898026678,13082.856,51.59566,0.901666667
575,13136.98167,21.00833333,0.89,12283.02417,16.32916667,0.8875,14012.6076,20,0.891736527,12930.4256,51.62664,0.89
580,12744.73417,20.96,0.89,12250.99167,16.4175,0.89,13575.40232,20,0.763243243,12478.73973,51.73128,0.89
585,12398.78833,21.0125,0.9,12104.61833,16.41666667,0.8925,13301.3412,20,0.804415974,12385.8976,51.21678,0.9
590,12165.74917,20.8325,0.88,12138.67167,16.42083333,0.883333333,12234.47944,20,0.78881743,12350.5104,51.05418,0.88
595,12282.2125,20.87333333,0.890833333,12375.755,16.34666667,0.888333333,12926.57408,20,0.821957041,12199.30667,50.4517,0.890833333
600,11937.25833,20.87333333,0.9075,12475.80833,16.41666667,0.893333333,13556.04032,20,0.762555626,11723.89333,49.522,0.9075
605,11591.62083,20.855,0.863333333,12554.21,16.42,0.8925,13411.08864,20,0.886332882,11907.91093,50.24382,0.863333333
610,11746.53417,20.82,0.886666667,12461.73583,16.43666667,0.890833333,13782.45456,20,0.903597527,12558.32853,50.20256,0.886666667
615,12752.8875,20.78833333,0.89,12385.68333,16.585,0.89,13595.78296,20,0.907066796,13106.1856,51.87176,0.89
620,12810.54917,20.81833333,0.901666667,12296.98667,16.58333333,0.891666667,13795.84208,20,0.891157989,12904.664,51.12206,0.901666667
625,13153.14333,20.86583333,0.89,12269.1575,16.59,0.8875,13550.93448,20,0.868538378,12945.72853,52.04934,0.89
,,,,,,,,,,,,0.865
