hls.throughput,hls.accuracy,hls.latency
9824.128,0.8444444444,2441
9812.096,0.7940552017,2932
10000.096,0.8281764319,2132
9902.336,0.8405797101,2220
9541.376,0.8356083086,2217
9679.744,0.8311390956,3313
14179.712,0.8262857143,2466
14254.912,0.8588445503,2561
14444.416,0.8507183011,2568
14585.792,0.806671721,1701
14248.896,0.8651778329,1587
14689.568,0.8743169399,1621
14124.064,0.8932806324,1638
14263.936,0.846921797,1665
14122.56,0.8489208633,1683
13835.296,0.8984310487,1708
13644.288,0.8587848933,1726
13603.68,0.8778501629,1758
13624.736,0.8732394366,1772
13508.928,0.8996539792,1873
13796.192,0.8824688116,1814
13754.08,0.8546895641,1842
14029.312,0.8775376555,1861
14006.752,0.8773006135,1882
13830.784,0.8588588589,1909
13650.304,0.8714462299,1937
13764.608,0.8566084788,1972
13740.544,,1987
