hls.latency,hls.accuracy,hls.throughput
5510,0.9043478261,3015.52
5681,0.9590163934,4036.736
5816,0.9496855346,4809.792
5764,0.9295774648,4254.816
5806,0.8894117647,4382.656
5760,0.8873563218,3874.304
5667,0.9274611399,3017.024
5699,0.859437751,3078.688
5722,0.9259259259,3071.168
5699,0.8701298701,2675.616
5173,0.8481012658,3168.928
4716,0.8664259928,2621.472
4798,0.7942028986,3021.536
5057,0.8517110266,4657.888
5103,0.765625,4782.72
5034,0.7948717949,4132.992
6526,0.8924731183,7234.24
6119,0.9270833333,3247.136
6275,0.8700564972,3268.192
6441,0.9390243902,3322.336
6724,0.9650793651,4215.712
6715,0.9034749035,3044.096
6245,0.8558558559,3573.504
5796,0.8027210884,3436.64
5803,0.8546255507,3319.328
5730,0.8524590164,2610.944
5702,0.8563218391,2237.952
5783,0.8344827586,2635.008
5795,0.8201438849,2534.24
5806,0.7777777778,2424.448
5764,0.8632478632,1940.16
5801,0.9418960245,2013.856
5970,0.9365558912,3029.056
6131,0.9263157895,3982.592
6000,0.8789808917,2868.128
6206,0.8830022075,2786.912
6241,0.8816793893,2830.528
6219,0.8660714286,2597.408
6193,0.8481675393,2343.232
6221,0.8794788274,2364.288
6456,0.8702290076,3350.912
6500,0.84,3433.632
6523,0.7339449541,3353.92
6391,0.9172932331,2699.68
6523,0.9291338583,3218.56
6436,0.9154929577,2690.656
6340,0.6495726496,2132.672
6403,0.6666666667,2316.16
6549,0.7225806452,2890.688
6577,0.8176100629,2920.768
6784,0.8620689655,3794.592
6652,0.9027777778,3035.072
6685,0.92,3078.688
6715,0.9222222222,3119.296
6915,0.9351851852,3954.016
7002,0.8758169935,4244.288
6891,0.9142857143,3626.144
6898,0.7474747475,3534.4
6839,0.756097561,3150.88
6846,0.7744680851,3053.12
6970,0.9043478261,3508.832
7017,0.9590163934,3642.688
7085,0.9496855346,3851.744
7040,0.9295774648,3538.912
6764,0.8894117647,3319.328
6439,0.8873563218,3039.584
6559,0.9274611399,3481.76
6589,0.859437751,3501.312
6631,0.9259259259,3558.464
6536,0.8701298701,3045.6
6439,0.8481012658,2471.072
6413,0.8664259928,2227.424
6546,0.7942028986,2740.288
6738,0.8517110266,3534.4
6716,0.765625,3316.32
6614,0.7948717949,2716.224
6688,0.8924731183,2971.904
6631,0.9270833333,2576.352
6654,0.8700564972,2591.392
6783,0.9390243902,3074.176
6906,0.9650793651,3538.912
6951,0.9034749035,3663.744
7076,0.8558558559,4132.992
6901,0.8027210884,3170.432
6807,0.8546255507,2628.992
6830,0.8524590164,2601.92
6825,0.8563218391,2453.024
6908,0.8344827586,2738.784
